published,title,url,views
2015-09-27,An embarrassingly simple approach to zero-shot learning,http://videolectures.net/icml2015_romera_paredes_zero_shot_learning,152
2016-05-27,Generating Images from Captions with Attention,http://videolectures.net/iclr2016_mansimov_generating_images,152
2016-10-24,Focal flow: Measuring depth and velocity from defocus and differential motion,http://videolectures.net/eccv2016_alexander_focal_flow,148
2015-12-05,From Word Embeddings To Document Distances ,http://videolectures.net/icml2015_kusner_document_distances,143
2016-05-31,A Survey of Model-Based Methods for Global Optimization,http://videolectures.net/bioma2016_bartz_beielstein_based_methods,139
2015-09-27,Learning Deep Structured Models,http://videolectures.net/icml2015_chen_deep_structured_models,138
2015-12-05,Modeling Order in Neural Word Embeddings at Scale,http://videolectures.net/icml2015_gilmore_trask_modeling_order,137
2016-11-15,Near Real-Time Transportation Mode Detection Based on Accelerometer Readings,http://videolectures.net/sikdd2016_urbancic_accelerometer_readings,132
2015-12-05,Is Feature Selection Secure against Training Data Poisoning?,http://videolectures.net/icml2015_biggio_feature_selection,132
2016-02-10,Discovering the Spatial Extent of Relative Attributes,http://videolectures.net/iccv2015_xiao_relative_attributes,131
2016-01-11,Representation and Reasoning with Universal Schema Embeddings,http://videolectures.net/iswc2015_mccallum_universal_schema,130
2016-02-10,Learning to Track: Online Multi-Object Tracking by Decision Making,http://videolectures.net/iccv2015_xiang_decision_making,130
2016-08-31,A VC View of Investing in ML,http://videolectures.net/kdd2016_papadopoulos_investing_ml,129
2015-09-27,Support Matrix Machines,http://videolectures.net/icml2015_luo_support_matrix_machines,128
2016-07-28,LOTUS: Adaptive Text Search for Big Linked Data,http://videolectures.net/eswc2016_ilievski_linked_data,128
2016-09-01,Graphical modelling and Bayesian structural learning,http://videolectures.net/isba2016_green_graphical_modelling,128
2015-09-27,A Relative Exponential Weighing Algorithm for Adversarial Utility-based Dueling Bandits,http://videolectures.net/icml2015_gajane_dueling_bandits,127
2016-10-24,Visual Relationship Detection with Language Priors,http://videolectures.net/eccv2016_krishna_relationship_detection,126
2016-11-10,RDF2Vec: RDF Graph Embeddings for Data Mining,http://videolectures.net/iswc2016_ristoski_rdf_graph,125
2016-02-10,Deep Fried Convnets,http://videolectures.net/iccv2015_yang_fried_convnets,125
